an_entry_id,an_collector_person_id,clctr_name,is_couple
ACE355,ACPE355a,Blema Steinberg,1
ACE355,ACPE355b,Arnold Steinberg,1
ACE356,ACPE356a,Eleonore Stoffel,1
ACE356,ACPE356b,Michael Stoffel,1
ACE357,ACPE357a,Norah Stone,1
ACE357,ACPE357b,Norman Stone,1
ACE358,ACPE358a,Kenneth Thomson,1
ACE358,ACPE358b,Marilyn Thomson,1
ACE362,ACPE362a,Thomas Bechtler,1
ACE362,ACPE362b,Cristina Bechtler,1
ACE366,ACPE366a,Joseph Goldyne,1
ACE366,ACPE366b,Deborah Sperry Goldyne,1
ACE371,ACPE371a,Richard Kramlich,1
ACE371,ACPE371b,Pamela Kramlich,1
ACE372,ACPE372a,Baroness Marion Lambert,1
ACE372,ACPE372b,Baron Philippe Lambert,1
ACE375,ACPE375a,George Roberts,1
ACE375,ACPE375b,Lee Ann Roberts,1
ACE379,ACPE379a,Donna Stone,1
ACE379,ACPE379b,Howard S. Stone,1
ACE385,ACPE385a,Debra Black,1
ACE385,ACPE385b,Leon Black,1
ACE387,ACPE387a,David Bowie,1
ACE387,ACPE387b,Iman Mohamed Abdulmajid,1
ACE397,ACPE397a,Bebe Kemper,1
ACE397,ACPE397b,"R. Crosby Kemper, Jr.",1
ACE401,ACPE401a,Elisabeth Leopold,1
ACE401,ACPE401b,Rudolf Leopold,1
ACE405,ACPE405a,Masula Mannil,1
ACE405,ACPE405b,Harry Mannil,1
ACE407,ACPE407a,Gabrielle Merzbacher,1
ACE407,ACPE407b,Werner Merzbacher,1
ACE415,ACPE415a,Charles Wrightsman,1
ACE415,ACPE415b,Jayne Wrightsman,1
ACE418,ACPE418a,Anette Brandhorst,1
ACE418,ACPE418b,Udo Brandhorst,1
ACE427,ACPE427a,Mimi Haas,1
ACE427,ACPE427b,Peter Haas,1
ACE431,ACPE431a,Renata Hornstein,1
ACE431,ACPE431b,Michal Hornstein,1
ACE433,ACPE433a,Elsa Hotz,1
ACE433,ACPE433b,Theo Hotz,1
ACE435,ACPE435a,Evelyn Lauder,1
ACE435,ACPE435b,Leonard Lauder,1
ACE436,ACPE436a,Jo Carole Lauder,1
ACE436,ACPE436b,Ronald S. Lauder,1
ACE437,ACPE437a,Vicki Logan,1
ACE437,ACPE437b,Kent Logan,1
ACE439,ACPE439a,Rachel Mellon,1
ACE439,ACPE439b,Paul Mellon,1
ACE444,ACPE444a,Judy Ovitz,1
ACE444,ACPE444b,Michael Ovitz,1
ACE445,ACPE445a,Mary Pappajohn,1
ACE445,ACPE445b,John Pappajohn,1
ACE450,ACPE450a,Helen Schwab,1
ACE450,ACPE450b,Charles Schwab,1
ACE451,ACPE451a,Anna Marie Shapiro,1
ACE451,ACPE451b,Robert Shapiro,1
ACE452,ACPE452a,Mary Shirley,1
ACE452,ACPE452b,Jon Shirley,1
ACE453,ACPE453a,Jerry I. Speyer,1
ACE453,ACPE453b,Katherine G. Farley,1
ACE454,ACPE454a,Dorie Sternberg,1
ACE454,ACPE454b,Paul Sternberg,1
ACE456,ACPE456a,Toby Tanenbaum,1
ACE456,ACPE456b,Joey Tanenbaum,1
ACE459,ACPE459a,Nora Barron,1
ACE459,ACPE459b,Guy Barron,1
ACE460,ACPE460a,Cristina Bechtler-Lanfranconi,1
ACE460,ACPE460b,Thomas W. Bechtler-Lanfranconi,1
ACE461,ACPE461a,Barbara Bryant.,1
ACE461,ACPE461b,Donald L. Bryant Jr.,1
ACE462,ACPE462a,Jane Davis,1
ACE462,ACPE462b,David Davis,1
ACE463,ACPE463a,Pamela Ebsworth,1
ACE463,ACPE463b,Barney A. Ebsworth,1
ACE466,ACPE466a,Elizabeth Hedreen,1
ACE466,ACPE466b,Richard Hedreen,1
ACE467,ACPE467a,Ronnie Heyman,1
ACE467,ACPE467b,Samuel Heyman,1
ACE469,ACPE469a,Pamela Kramlich,1
ACE469,ACPE469b,Richard Kramlich,1
ACE470,ACPE470a,Marie-Josée Kravis,1
ACE470,ACPE470b,Henry R. Kravis,1
ACE471,ACPE471a,Catie Marron,1
ACE471,ACPE471b,Donald B. Marron,1
ACE473,ACPE473a,Jacqueline Nordmann,1
ACE473,ACPE473b,Philippe Nordmann,1
ACE474,ACPE474a,Louise Riggio,1
ACE474,ACPE474b,Leonard Riggio,1
ACE475,ACPE475a,Kathy Sachs,1
ACE475,ACPE475b,Keith Sachs,1
ACE476,ACPE476a,Judy Steinhardt,1
ACE476,ACPE476b,Michael H. Steinhardt,1
ACE479,ACPE479a,Barbara Alfond,1
ACE479,ACPE479b,Ted Alfond,1
ACE481,ACPE481a,Sylvie Berri,1
ACE481,ACPE481b,Claude Berri,1
ACE483,ACPE483a,Melinda Gates,1
ACE483,ACPE483b,Bill Gates,1
ACE492,ACPE492a,Ellen Ringier,1
ACE492,ACPE492b,Michael Ringier,1
ACE493,ACPE493a,Sharon Rockefeller,1
ACE493,ACPE493b,Jay Rockefeller,1
ACE494,ACPE494a,Jeannette Sanders,1
ACE494,ACPE494b,Martijn Sanders,1
ACE496,ACPE496a,Ruth Shack,1
ACE496,ACPE496b,Richard Shack,1
ACE497,ACPE497a,Margaret Stent,1
ACE497,ACPE497b,Terry Stent,1
ACE501,ACPE501a,Valerie Diker,1
ACE501,ACPE501b,Charles Diker,1
ACE503,ACPE503a,Peter H. Lunder,1
ACE503,ACPE503b,Paula Lunder,1
ACE506,ACPE506a,Giovanna Panza di Biumo,1
ACE506,ACPE506b,Giuseppe Panza di Biumo,1
ACE508,ACPE508a,Marieke Sanders,1
ACE508,ACPE508b,Pieter Sanders,1
ACE509,ACPE509a,Ute Scharpff,1
ACE509,ACPE509b,Rudolf Scharpff,1
ACE511,ACPE511a,B. Z. Schwartz,1
ACE511,ACPE511b,Michael Schwartz,1
ACE513,ACPE513a,Nancy Anschutz,1
ACE513,ACPE513b,Philip Anschutz,1
ACE515,ACPE515a,Sandra Fineberg,1
ACE515,ACPE515b,Gerald Fineberg,1
ACE516,ACPE516a,Maxine Frankel,1
ACE516,ACPE516b,Stuart Frankel,1
ACE519,ACPE519a,Janine Hill,1
ACE519,ACPE519b,J. Tomilson Hill,1
ACE521,ACPE521a,Anne Marion,1
ACE521,ACPE521b,John Marion,1
ACE523,ACPE523a,Cindy Rachofsky,1
ACE523,ACPE523b,Howard Rachofsky,1
ACE525,ACPE525a,Tsuneo Sudo,1
ACE525,ACPE525b,Eiichiro Sudo,1
ACE527,ACPE527a,Ruth True,1
ACE527,ACPE527b,William True,1
ACE530,ACPE530a,Annette Brandhorst,1
ACE530,ACPE530b,Udo Brandhorst,1
ACE531,ACPE531a,Melva Bucksbaum,1
ACE531,ACPE531b,Raymond Learsy,1
ACE535,ACPE535a,Danielle Ganek,1
ACE535,ACPE535b,David Ganek,1
ACE537,ACPE537a,Susan Hort,1
ACE537,ACPE537b,Michael Hort,1
ACE539,ACPE539a,Jeanne Klein,1
ACE539,ACPE539b,Michael L. Klein,1
ACE540,ACPE540a,Sarah-Ann Kramarsky,1
ACE540,ACPE540b,Werner H. Kramarsky,1
ACE541,ACPE541a,Jill Kraus,1
ACE541,ACPE541b,Peter Kraus,1
ACE543,ACPE543a,Sherry Mallin,1
ACE543,ACPE543b,Joel Mallin,1
ACE544,ACPE544a,Carol Rahr,1
ACE544,ACPE544b,Stewart Rahr,1
ACE548,ACPE548a,Abigail Wexner,1
ACE548,ACPE548b,Leslie H. Wexner,1
ACE550,ACPE550a,Kenneth C. Griffin,1
ACE550,ACPE550b,Anne Dias-Griffin,1
ACE552,ACPE552a,Anne Fisher,1
ACE552,ACPE552b,Jerome Fisher,1
ACE555,ACPE555a,Ninah Lynne,1
ACE555,ACPE555b,Michael Lynne,1
ACE556,ACPE556a,Susan Magnier,1
ACE556,ACPE556b,John Magnier,1
ACE558,ACPE558a,Elizabeth Plotnick,1
ACE558,ACPE558b,Harvey Plotnick,1
ACE563,ACPE563a,Leonora Belilty,1
ACE563,ACPE563b,Jimmy Belilty,1
ACE565,ACPE565a,Monique Burger,1
ACE565,ACPE565b,Max Burger,1
ACE566,ACPE566a,Cherryl Cohen,1
ACE566,ACPE566b,Frank Cohen,1
ACE569,ACPE569a,Kathleen Fuld,1
ACE569,ACPE569b,Richard S. Fuld Jr.,1
ACE570,ACPE570a,Ann Gund,1
ACE570,ACPE570b,Graham Gund,1
ACE571,ACPE571a,Margrit Hahnloser,1
ACE571,ACPE571b,Paul Hahnloser,1
ACE572,ACPE572a,Adam Lindemann,1
ACE572,ACPE572b,Amalia Dayan,1
ACE573,ACPE573a,Margaret Munzer Loeb,1
ACE573,ACPE573b,Daniel S. Loeb,1
ACE574,ACPE574a,Frances G. McGlothlin,1
ACE574,ACPE574b,James W. McGlothlin,1
ACE576,ACPE576a,Julie Minskoff,1
ACE576,ACPE576b,Edward J. Minskoff,1
ACE578,ACPE578a,Marsha Perelman,1
ACE578,ACPE578b,Jeffrey Perelman,1
ACE579,ACPE579a,Miuccia Prada,1
ACE579,ACPE579b,Patrizio Bertelli,1
ACE580,ACPE580a,Lisa Pritzker,1
ACE580,ACPE580b,John A. Pritzker,1
ACE586,ACPE586a,Lauren Taschen,1
ACE586,ACPE586b,Benedikt Taschen,1
ACE588,ACPE588a,Elaine Wynn,1
ACE588,ACPE588b,Stephen A. Wynn,1
ACE589,ACPE589a,Hélène Arnault,1
ACE589,ACPE589b,Bernard Arnault,1
ACE590,ACPE590a,Maria Arena Bell,1
ACE590,ACPE590b,William Bell Jr.,1
ACE591,ACPE591a,Karen Boros,1
ACE591,ACPE591b,Christian Boros,1
ACE593,ACPE593a,Peggy Burnet,1
ACE593,ACPE593b,Ralph Burnet,1
ACE597,ACPE597a,Agnes Essl,1
ACE597,ACPE597b,Karlheinz Essl,1
ACE598,ACPE598a,Geraldine Gottesman,1
ACE598,ACPE598b,Noam Gottesman,1
ACE599,ACPE599a,Mania Hahnloser,1
ACE599,ACPE599b,Bernhard Hahnloser,1
ACE600,ACPE600a,Christine Hall,1
ACE600,ACPE600b,Andrew Hall,1
ACE602,ACPE602a,Cindy Horn,1
ACE602,ACPE602b,Alan Horn,1
ACE604,ACPE604a,Anneliese Lenz,1
ACE604,ACPE604b,Gerhard Lenz,1
ACE605,ACPE605a,Jane Manoogian,1
ACE605,ACPE605b,Richard Manoogian,1
ACE607,ACPE607a,Lisa Tananbaum,1
ACE607,ACPE607b,Steve Tananbaum,1
ACE611,ACPE611a,Eileen Cohen,1
ACE611,ACPE611b,Michael Cohen,1
ACE613,ACPE613a,Nathalie de Gunzburg,1
ACE613,ACPE613b,Charles de Gunzburg,1
ACE614,ACPE614a,Deedie Rose,1
ACE614,ACPE614b,Rusty Rose,1
ACE616,ACPE616a,Dana Tananbaum,1
ACE616,ACPE616b,Jim Tananbaum,1
ACE617,ACPE617a,Roman Abramovich,1
ACE617,ACPE617b,Dasha Zhukova,1
ACE619,ACPE619a,Robert H. Chaney,1
ACE619,ACPE619b,"Jereann H. Chaney",1
ACE619,ACPE619c,Holland Chaney,1
ACE620,ACPE620a,Frank J. Fertitta III,1
ACE620,ACPE620b,Lorenzo Fertitta,1
ACE621,ACPE621a,Diane Halle,1
ACE621,ACPE621b,Bruce Halle,1
ACE623,ACPE623a,Mimi Libeert,1
ACE623,ACPE623b,Filiep Libeert,1
ACE626,ACPE626a,Lynda Resnick,1
ACE626,ACPE626b,Stewart Resnick,1
ACE627,ACPE627a,Myriam Ullens,1
ACE627,ACPE627b,Guy Ullens,1
ACE628,ACPE628a,Maria Baibakova,1
ACE628,ACPE628b,Oleg Baybakov,1
ACE629,ACPE629a,Marijke Cordia,1
ACE629,ACPE629b,Willem Cordia,1
ACE631,ACPE631a,Ingrid Jung,1
ACE631,ACPE631b,Hugo Jung,1
ACE632,ACPE632a,Nancy Magoon,1
ACE632,ACPE632b,Robert Magoon,1
ACE633,ACPE633a,Susan Marx,1
ACE633,ACPE633b,Larry Marx,1
ACE635,ACPE635a,Amy Phelan,1
ACE635,ACPE635b,John Phelan,1
ACE636,ACPE636a,Penny Pritzker,1
ACE636,ACPE636b,Bryan Traubert,1
ACE637,ACPE637a,Lenore Sender,1
ACE637,ACPE637b,Adam Sender,1
ACE640,ACPE640a,Iris Strauss,1
ACE640,ACPE640b,Matthew Strauss,1
ACE641,ACPE641a,Robbi Toll,1
ACE641,ACPE641b,Bruce E. Toll,1
ACE643,ACPE643a,Laura Arnold,1
ACE643,ACPE643b,John Arnold,1
ACE644,ACPE644a,Cees de Bruin-Heijn,1
ACE644,ACPE644b,Inge de Bruin-Heijn,1
ACE645,ACPE645a,Alexandra Cohen,1
ACE645,ACPE645b,Steven A. Cohen,1
ACE648,ACPE648a,Amanda Fuhrman,1
ACE648,ACPE648b,Glenn R. Fuhrman,1
ACE650,ACPE650a,Catherine Lagrange,1
ACE650,ACPE650b,Pierre Lagrange,1
ACE651,ACPE651a,Paula Lunder,1
ACE651,ACPE651b,Peter H. Lunder,1
ACE653,ACPE653a,Emily Rales,1
ACE653,ACPE653b,Mitchell Rales,1
ACE656,ACPE656a,Barbara Vogelstein,1
ACE656,ACPE656b,John Vogelstein,1
ACE659,ACPE659a,Bettina Bryant,1
ACE659,ACPE659b,Donald L. Bryant Jr.,1
ACE663,ACPE663a,Suna Kiraç,1
ACE663,ACPE663b,Inan Kiraç,1
ACE664,ACPE664a,Liz Lefkofsky,1
ACE664,ACPE664b,Eric Lefkofsky,1
ACE667,ACPE667a,Edith Vanmoerkerke,1
ACE667,ACPE667b,Mark Vanmoerkerke,1
ACE668,ACPE668a,Shelley Fox Aarons,1
