clctr_name,clctr_name2,dist,ace_left,ace_right,is_same_APE,correct_name
John Weber,John Powers,4,ACE193--ACE273,ACE322,0,""
Peter Ludwig,Irene Ludwig,4,ACE108--ACE345,ACE345--ACE404,0,""
Mary Shirley,Jon Shirley,4,ACE452,ACE353--ACE452,0,""
Marilynn Thoma,Marilyn Thomson,4,ACE858,ACE358,0,""
Norman Stone,Donna Stone,4,ACE357--ACE477,ACE379,0,""
Norah Stone,Donna Stone,4,ACE357,ACE379,0,""
Herbert Black,Debra Black,4,ACE386,ACE385,0,""
Scott Black,Leon Black,4,ACE363,ACE385,0,""
Vicki Sant,Vicki Logan,4,ACE703,ACE437,0,""
David Tang,David Davis,4,ACE411,ACE462,0,""
David Ganek,David Davis,4,ACE517--ACE535,ACE462,0,""
David Mirvish,David Davis,4,ACE291,ACE462,0,""
Peggy Rockefeller,Jay Rockefeller,4,ACE298,ACE493,0,""
Martijn Sanders,Marieke Sanders,4,ACE300--ACE494,ACE508,0,""
Michael Ovitz,Michael Hort,4,ACE143--ACE347--ACE444,ACE537,0,""
Anne Titze,Anne Fisher,4,ACE772,ACE552,0,""
Susan Manilow,Susan Magnier,4,ACE110,ACE556,0,""
John Marion,John Magnier,4,ACE521,ACE556,0,""
Frank Moore,Frank Cohen,4,ACE745,ACE549--ACE566,0,""
Karen Cohen,Frank Cohen,4,ACE315,ACE549--ACE566,0,""
Tom Pritzker,Lisa Pritzker,4,ACE724,ACE580,0,""
Laurent Asscher,Lauren Taschen,4,ACE777,ACE586,0,""
Karen Cohen,Karen Boros,4,ACE315,ACE591,0,""
Christian Bührle,Christian Boros,4,ACE708,ACE591,0,""
Agnes Gund,Agnes Essl,4,ACE72,ACE597,0,""
Margrit Hahnloser,Mania Hahnloser,4,ACE571,ACE599,0,""
Paul Hahnloser,Mania Hahnloser,4,ACE571,ACE599,0,""
Karen Cohen,Eileen Cohen,4,ACE315,ACE611,0,""
Eileen Norton,Eileen Cohen,4,ACE135,ACE611,0,""
Michael Lynne,Michael Cohen,4,ACE542--ACE555,ACE611,0,""
Michael Hort,Michael Cohen,4,ACE537,ACE611,0,""
Janine Hill,Jane Toll,4,ACE519,ACE687,0,""
Yang Bin,Wang Wei,4,ACE704,ACE688,0,""
Robert Tsao,Robert Drake,4,ACE832,ACE693,0,""
Steven Rales,Steven Latner,4,ACE559,ACE696,0,""
Larry Fink,Larry Fields,4,ACE817,ACE718,0,""
Liberty Ross,Hilary Ross,4,ACE819,ACE726,0,""
Stephen Swid,Stephen Levin,4,ACE179,ACE787,0,""
Thomas Shao,Komal Shah,4,ACE728,ACE805,0,""
Sammy Ofer,Batia Ofer,4,ACE136,ACE847,0,""
Yan Du,B.L Au,4,ACE860,ACE10,0,""
Martin Visser,Martin Blinder,4,ACE306,ACE22,0,""
Judy Dayton,Bruce Dayton,4,ACE330,ACE47,0,""
David Teiger,David Geffen,4,ACE608,ACE62,0,""
Robert Toll,Robert Halff,4,ACE687,ACE74,0,""
Tatsumi Sato,Takuji Kato,4,ACE582,ACE91,0,""
Frederik Roos,Frederick Koch,4,ACE154,ACE94,0,""
William Lane,William Koch,4,ACE212,ACE95,0,""
William True,William Koch,4,ACE527,ACE95,0,""
John Goulandris,Alex Goulandris,4,ACE70,ACE208,0,""
Joseph Lewis,Joseph Lau,4,ACE402,ACE213,0,""
Joseph Safra,Joseph Lau,4,ACE727,ACE213,0,""
Jan Mayer,Jan Ahlers,4,ACE256,ACE234,0,""
George Ti,George Ortiz,4,ACE267,ACE259,0,""
Peter Sharp,Dieter Scharf,4,ACE265,ACE263,0,""
Walther Scharf,Dieter Scharf,4,ACE264,ACE263,0,""
Peter Simon,Peter Sharp,4,ACE584,ACE265,0,""
Robert Tsao,Robert Hiscox,4,ACE832,ACE393,0,""
Jarl Mohn,Carl Icahn,4,ACE678,ACE394,0,""
Carol Rahr,Carl Icahn,4,ACE544,ACE394,0,""
John Marion,John Kaldor,4,ACE521,ACE396,0,""
John Kluge,John Kaldor,4,ACE251,ACE396,0,""
Robert Toll,Robert Miller,4,ACE687,ACE440,0,""
Jo Ann,Jho Low,4,ACE61,ACE721,0,""
Stephen Swid,Stephen Ross,4,ACE179,ACE725,0,""
