an_entry_id,an_person_id,clctr_name,is_couple
ACE281,APE281b,Miguel Angel and Magaly Capriles,1
ACE286,APE286a,Doris and Donald Fisher,1
ACE286,APE286b,Doris and Donald Fisher,1
ACE287,APE287a,Franz Josef and Hans van der Grinten,1
ACE287,APE287b,Franz Josef and Hans van der Grinten,1
ACE290,APE290a,Rolf and Erika Hoffman,1
ACE290,APE290b,Rolf and Erika Hoffman,1
ACE291,APE291a,David and Audrey Mirvish,1
ACE291,APE291b,David and Audrey Mirvish,1
ACE295,APE295a,Marie-Thérèse and Alain-Dominique Perrin,1
ACE295,APE295b,Marie-Thérèse and Alain-Dominique Perrin,1
ACE296,APE296a,Jesús de Polanco and Mariluz Barreiros,1
ACE296,APE296b,Jesús de Polanco and Mariluz Barreiros,1
ACE297,APE297a,Véronique and Louis-Antoine Prat,1
ACE297,APE297b,Véronique and Louis-Antoine Prat,1
ACE298,APE298a,David and Peggy Rockefeller,1
ACE298,APE298b,David and Peggy Rockefeller,1
ACE299,APE299a,Mera and Donald Rubell,1
ACE299,APE299b,Mera and Donald Rubell,1
ACE304,APE304a,Joey and Toby Tanenbaum,1
ACE304,APE304b,Joey and Toby Tanenbaum,1
ACE305,APE305a,Daniel and Judith Terra,1
ACE305,APE305b,Daniel and Judith Terra,1
ACE308,APE308a,Reba and Dave H. Williams,1
ACE308,APE308b,Reba and Dave H. Williams,1
ACE309,APE309a,George and Maida Abrams,1
ACE309,APE309b,George and Maida Abrams,1
ACE311,APE311a,Monique and Jean Paul Barbier-Mueller,1
ACE311,APE311b,Monique and Jean Paul Barbier-Mueller,1
ACE313,APE313a,Vivian and David Campbell,1
ACE313,APE313b,Vivian and David Campbell,1
ACE320,APE320a,Carrie and Robert Lehrman,1
ACE320,APE320b,Carrie and Robert Lehrman,1
ACE321,APE321a,Ann and Ron Pizzuti,1
ACE321,APE321b,Ann and Ron Pizzuti,1
ACE322,APE322a,John and Kimiko Powers,1
ACE322,APE322b,John and Kimiko Powers,1
ACE323,APE323a,Lila and Gilbert B. Silverman,1
ACE323,APE323b,Lila and Gilbert B. Silverman,1
ACE325,APE325a,Maria Nieves Noriega de Autrey and Sergio Autrey,1
ACE325,APE325b,Maria Nieves Noriega de Autrey and Sergio Autrey,1
ACE326,APE326a,David and Frederick Barclay,1
ACE326,APE326b,David and Frederick Barclay,1
ACE327,APE327a,Clyde and Karin Beswick,1
ACE327,APE327b,Clyde and Karin Beswick,1
ACE328,APE328a,John and Frances Garland Bowes,1
ACE328,APE328b,John and Frances Garland Bowes,1
ACE329,APE329a,Rosa and Carlos de la Cruz,1
ACE329,APE329b,Rosa and Carlos de la Cruz,1
ACE330,APE330a,Kenneth and Judy Dayton,1
ACE330,APE330b,Kenneth and Judy Dayton,1
ACE331,APE331a,Anne and Joel S. Ehrenkranz,1
ACE331,APE331b,Anne and Joel S. Ehrenkranz,1
ACE333,APE333a,Anna and Josef Froehlich,1
ACE333,APE333b,Anna and Josef Froehlich,1
ACE335,APE335a,Marsha and Jay Glazer,1
ACE335,APE335b,Marsha and Jay Glazer,1
ACE336,APE336a,Martine and Didier Guichard,1
ACE336,APE336b,Martine and Didier Guichard,1
ACE339,APE339a,Michal and Renata Hornstein,1
ACE339,APE339b,Michal and Renata Hornstein,1
ACE340,APE340a,Morton L. and Linda Janklow,1
ACE340,APE340b,Morton L. and Linda Janklow,1
ACE343,APE343a,Barbara and Jon Landau,1
ACE343,APE343b,Barbara and Jon Landau,1
ACE344,APE344a,Thomas H. Lee and Ann Tenenbaum,1
ACE344,APE344b,Thomas H. Lee and Ann Tenenbaum,1
ACE345,APE345a,Peter and Irene Ludwig,1
ACE345,APE345b,Peter and Irene Ludwig,1
ACE346,APE346a,Ida and Achille Maramotti,1
ACE346,APE346b,Ida and Achille Maramotti,1
ACE347,APE347a,Michael and Judy Ovitz,1
ACE347,APE347b,Michael and Judy Ovitz,1
ACE352,APE352a,Ida and Pieter Sanders,1
ACE352,APE352b,Ida and Pieter Sanders,1
ACE353,APE353a,Kim Richter Shirley and Jon Shirley,1
ACE353,APE353b,Kim Richter Shirley and Jon Shirley,1
ACE355,APE355a,Blema and Arnold Steinberg,1
ACE355,APE355b,Blema and Arnold Steinberg,1
