an_entry_id,an_collector_person_id,clctr_name,is_couple,an_person_id
ACE397,ACPE397b,"R. Crosby Kemper, Jr.",1,APE242
ACE401,ACPE401a,Elisabeth Leopold,1,APE243
ACE401,ACPE401b,Rudolf Leopold,1,APE244
ACE405,ACPE405a,Masula Mannil,1,APE245
ACE405,ACPE405b,Harry Mannil,1,APE246
ACE407,ACPE407a,Gabrielle Merzbacher,1,APE247
ACE407,ACPE407b,Werner Merzbacher,1,APE248
ACE415,ACPE415a,Charles Wrightsman,1,APE249
ACE415,ACPE415b,Jayne Wrightsman,1,APE250
ACE418,ACPE418a,Anette Brandhorst,1,APE251
ACE418,ACPE418b,Udo Brandhorst,1,APE252
ACE427,ACPE427a,Mimi Haas,1,APE253
ACE427,ACPE427b,Peter Haas,1,APE254
ACE431,ACPE431a,Renata Hornstein,1,APE200
ACE431,ACPE431b,Michal Hornstein,1,APE199
ACE433,ACPE433a,Elsa Hotz,1,APE257
ACE433,ACPE433b,Theo Hotz,1,APE258
ACE435,ACPE435a,Evelyn Lauder,1,APE259
ACE435,ACPE435b,Leonard A. Lauder,1,APE260
ACE436,ACPE436a,Jo Carole Lauder,1,APE261
ACE436,ACPE436b,Ronald S. Lauder,1,APE262
ACE437,ACPE437a,Vicki Logan,1,APE263
ACE437,ACPE437b,Kent Logan,1,APE264
ACE439,ACPE439a,Rachel Mellon,1,APE58
ACE439,ACPE439b,Paul Mellon,1,APE57
ACE444,ACPE444a,Judy Ovitz,1,APE212
ACE444,ACPE444b,Michael Ovitz,1,APE211
ACE445,ACPE445a,Mary Pappajohn,1,APE269
ACE445,ACPE445b,John Pappajohn,1,APE270
ACE450,ACPE450a,Helen Schwab,1,APE271
ACE450,ACPE450b,Charles Schwab,1,APE272
ACE451,ACPE451a,Anna Marie Shapiro,1,APE273
ACE451,ACPE451b,Robert Shapiro,1,APE274
ACE452,ACPE452a,Mary Shirley,1,APE275
ACE452,ACPE452b,Jon Shirley,1,APE216
ACE453,ACPE453a,Jerry I. Speyer,1,APE277
ACE453,ACPE453b,Katherine G. Farley,1,APE278
ACE454,ACPE454a,Dorie Sternberg,1,APE279
ACE454,ACPE454b,Paul Sternberg,1,APE280
ACE456,ACPE456a,Toby Tanenbaum,1,APE160
ACE456,ACPE456b,Joey Tanenbaum,1,APE159
ACE459,ACPE459a,Nora Barron,1,APE283
ACE459,ACPE459b,Guy Barron,1,APE284
ACE460,ACPE460a,Cristina Bechtler-Lanfranconi,1,APE285
ACE460,ACPE460b,Thomas W. Bechtler-Lanfranconi,1,APE286
ACE461,ACPE461a,Barbara Bryant.,1,APE287
ACE461,ACPE461b,Donald L. Bryant Jr.,1,APE288
ACE462,ACPE462a,Jane Davis,1,APE289
ACE462,ACPE462b,David Davis,1,APE290
ACE463,ACPE463a,Pamela Ebsworth,1,APE291
ACE463,ACPE463b,Barney A. Ebsworth,1,APE292
ACE466,ACPE466a,Elizabeth Hedreen,1,APE293
ACE466,ACPE466b,Richard Hedreen,1,APE294
ACE467,ACPE467a,Ronnie Heyman,1,APE295
ACE467,ACPE467b,Samuel Heyman,1,APE296
ACE469,ACPE469a,Pamela Kramlich,1,APE230
