an_entry_id,clctr_name,is_couple
ACE275,Wayne Wrightsman,0
ACE276,Juan Abelló,0
ACE277,Frits and Agnes Becht,1
ACE278,Marchesa Marida and Marchese Annibale Berlingieri,1
ACE279,Christiaan Braun,0
ACE280,"Sultan Haji Hassanal Bolkiah, Sultan of Brunei",0
ACE281,Miguel Angel and Magaly Capriles,1
ACE282,Ignacio Cobo,0
ACE283,Edward Cox,0
ACE284,Elaine Dannheisser,0
ACE285,Barney Ebsworth,0
ACE286,Doris and Donald Fisher,1
ACE287,Franz Josef and Hans van der Grinten,1
ACE288,Bob Guccione,0
ACE289,Ydessa Hendeles,0
ACE290,Rolf and Erika Hoffman,1
ACE291,David and Audrey Mirvish,1
ACE292,Peter Moores,0
ACE293,Jean-Pierre Moueix,0
ACE294,Jorge Ortiz-Patiño,0
ACE295,Marie-Thérèse and Alain-Dominique Perrin,1
ACE296,Jesús de Polanco and Mariluz Barreiros,1
ACE297,Véronique and Louis-Antoine Prat,1
ACE298,David and Peggy Rockefeller,1
ACE299,Mera and Donald Rubell,1
ACE300,Martijn Sanders,0
ACE301,Pieter Sanders,0
ACE302,Wilhelm Schürmann,0
ACE303,Marion Smooke,0
ACE304,Joey and Toby Tanenbaum,1
ACE305,Daniel and Judith Terra,1
ACE306,Martin Visser,0
ACE307,Andrew Lloyd Webber,0
ACE308,Reba and Dave H. Williams,1
ACE309,George and Maida Abrams,1
ACE310,Angelo Baldessari,0
ACE311,Monique and Jean Paul Barbier-Mueller,1
ACE312,Mary Livingston Griggs Burke,0
ACE313,Vivian and David Campbell,1
ACE314,Attilo Codognato,0
ACE315,Karen Cohen,0
ACE316,Jeffrey E. Horvitz,0
ACE317,Harry Hyams,0
ACE318,Stephane Janssen,0
ACE319,Sam Josefowitz,0
ACE320,Carrie and Robert Lehrman,1
ACE321,Ann and Ron Pizzuti,1
ACE322,John and Kimiko Powers,1
ACE323,Lila and Gilbert B. Silverman,1
ACE324,Robert Sosnick,0
ACE325,Maria Nieves Noriega de Autrey and Sergio Autrey,1
ACE326,David and Frederick Barclay,1
ACE327,Clyde and Karin Beswick,1
ACE328,John and Frances Garland Bowes,1
ACE329,Rosa and Carlos de la Cruz,1
ACE330,Kenneth and Judy Dayton,1
ACE331,Anne and Joel S. Ehrenkranz,1
ACE332,Baron Giorgio Franchetti,0
ACE333,Anna and Josef Froehlich,1
ACE334,Soichiro Fukutake,0
ACE335,Marsha and Jay Glazer,1
ACE336,Martine and Didier Guichard,1
ACE337,Jorge S. Helft,0
ACE338,Mauro Herlitzka,0
ACE339,Michal and Renata Hornstein,1
ACE340,Morton L. and Linda Janklow,1
ACE341,Simon Kwan,0
ACE342,Emily Fisher Landau,0
ACE343,Barbara and Jon Landau,1
ACE344,Thomas H. Lee and Ann Tenenbaum,1
ACE345,Peter and Irene Ludwig,1
ACE346,Ida and Achille Maramotti,1
ACE347,Michael and Judy Ovitz,1
ACE348,Lord Peter Palumbo,0
ACE349,Ronald O. Perelman,0
ACE350,François Pinault,0
ACE351,Sainsbury Family,0
ACE352,Ida and Pieter Sanders,1
ACE353,Kim Richter Shirley and Jon Shirley,1
ACE354,Carlos Slim Helú,0
ACE355,Blema and Arnold Steinberg,1
ACE356,Eleonore and Michael Stoffel,1
ACE357,Norah and Norman Stone,1
ACE358,Kenneth and Marilyn Thomson,1
ACE359,Mitchell Wolfson,0
ACE360,Reinhold Würth,0
ACE361,Gianni Agnelli,0
ACE362,Thomas and Cristina Bechtler,1
ACE363,Scott Black,0
ACE364,Nicola Bulgari,0
ACE365,Eduardo F. Costantini,0
ACE366,Joseph Goldyne and Deborah Sperry Goldyne,1
ACE367,Esther Grether,0
ACE368,Manfred Heiting,0
ACE369,Marieluise Hessel,0
ACE370,Graham Kirkham,0
ACE371,Richard and Pamela Kramlich,1
ACE372,Baroness Marion and Baron Philippe Lambert,1
ACE373,Peter Lewis,0
ACE374,Werner Merzbacher,0
ACE375,George and Lee Ann Roberts,1
ACE376,David Rockefeller,0
ACE377,Robert Smith,0
ACE378,Jeffrey Steiner,0
ACE379,Donna and Howard S. Stone,1
ACE380,Charles Tabachnick,0
ACE381,Paul Allen,0
ACE382,Hortense Anda-Bührle,0
ACE383,John P. Axelrod,0
ACE384,Dieter Bührle,0
ACE385,Debra and Leon Black,1
ACE386,Herbert Black,0
ACE387,David Bowie and Iman,1
ACE388,Joop van Caldenborgh,0
ACE389,Lloyd Cotsen,0
ACE390,Prodromus Emfietzoglou,0
ACE391,Joseph Hackmey,0
ACE392,Daniel Hechter,0
ACE393,Robert Hiscox,0
ACE394,Carl Icahn,0
ACE395,Audrey Irmas,0
ACE396,John Kaldor,0
ACE397,"Bebe and R. Crosby Kemper, Jr.",1
ACE398,Robert P. Kogod,0
ACE399,Werner Kramarsky,0
ACE400,Myron Kunin,0
ACE401,Elisabeth and Rudolf Leopold,1
ACE402,Joseph Lewis,0
ACE403,Denis Logothetis,0
ACE404,Irene Ludwig,0
ACE405,Masula and Harry Mannil,1
ACE406,Dinos Martinos,0
ACE407,Gabrielle and Werner Merzbacher,1
ACE408,Arendt Oetker,0
ACE409,Wafic Said,0
ACE410,Rudolf Scharpf,0
ACE411,David Tang,0
ACE412,Robert L. B. Tobin,0
ACE413,José Luis Várez Fisa,0
ACE414,Thomas W. Weisel,0
ACE415,Charles and Jayne Wrightsman,1
ACE416,Bruce Bailey,0
ACE417,Frances Bowes,0
ACE418,Anette and Udo Brandhorst,1
ACE419,Edward R. Broida,0
ACE420,Donald L. Bryant Jr.,0
ACE421,Blake Byrne,0
ACE422,Constance Caplan,0
ACE423,Frances Dittmer,0
ACE424,Ulla Dreyfus-Best,0
ACE425,Aaron I. Fleischman,0
ACE426,Ingvild Goetz,0
ACE427,Mimi and Peter Haas,1
ACE428,Jean Hamon,0
ACE429,Samuel Heyman,0
ACE430,Erika Hoffmann,0
ACE431,Renata and Michal Hornstein,1
ACE432,Joseph Hotung,0
ACE433,Elsa and Theo Hotz,1
ACE434,Uri Knecht,0
ACE435,Evelyn and Leonard Lauder,1
ACE436,Jo Carole and Ronald S. Lauder,1
ACE437,Vicki and Kent Logan,1
ACE438,Eugenio López Alonso,0
ACE439,Rachel and Paul Mellon,1
ACE440,Robert Miller,0
ACE441,Jan Mitchell,0
ACE442,Michimasa Murauchi,0
ACE443,Maja Oeri,0
ACE444,Judy and Michael Ovitz,1
ACE445,Mary and John Pappajohn,1
ACE446,Kimiko Powers,0
ACE447,Leonard Riggio,0
ACE448,Lee Ann Roberts,0
ACE449,Inge Rodenstock,0
ACE450,Helen and Charles Schwab,1
ACE451,Anna Marie and Robert Shapiro,1
ACE452,Mary and Jon Shirley,1
ACE453,Jerry I. Speyer and Katherine G. Farley,1
ACE454,Dorie and Paul Sternberg,1
ACE455,Eiichiro Sudo,0
ACE456,Toby and Joey Tanenbaum,1
ACE457,Dean Valentine,0
ACE458,Shelby White,0
ACE459,Nora and Guy Barron,1
ACE460,Cristina and Thomas W. Bechtler-Lanfranconi,1
ACE461,Barbara and Donald L. Bryant Jr.,1
ACE462,Jane and David Davis,1
ACE463,Pamela and Barney A. Ebsworth,1
ACE464,Harald Falckenberg,0
ACE465,Friedrich Christian Flick,0
ACE466,Elizabeth and Richard Hedreen,1
ACE467,Ronnie and Samuel Heyman,1
ACE468,Uli Knecht,0
ACE469,Pamela and Richard Kramlich,1
ACE470,Marie-Josée and Henry R. Kravis,1
ACE471,Catie and Donald B. Marron,1
ACE472,Leonardo Mondadori,0
ACE473,Jacqueline and Philippe Nordmann,1
ACE474,Louise and Leonard Riggio,1
ACE475,Kathy and Keith Sachs,1
ACE476,Judy and Michael H. Steinhardt,1
ACE477,Norman Stone,0
ACE478,Tsuneshi Suzuki,0
ACE479,Barbara and Ted Alfond,1
ACE480,Philip Anschutz,0
ACE481,Sylvie and Claude Berri,1
ACE482,Udo Brandhorst,0
ACE483,Melinda and Bill Gates,1
ACE484,Yu Gi-chung,0
ACE485,Marguerite Hoffman,0
ACE486,Frank Huang,0
ACE487,Elton John,0
ACE488,Alicia Koplowitz,0
ACE489,Minoru Mori,0
ACE490,Jack Nicholson,0
ACE491,Emily Rauh Pulitzer,0
ACE492,Ellen and Michael Ringier,1
ACE493,Sharon and Jay Rockefeller,1
ACE494,Jeannette and Martijn Sanders,1
ACE495,Stephan Schmidheiny,0
ACE496,Ruth and Richard Shack,1
ACE497,Margaret and Terry Stent,1
ACE498,Ricard Akagawa,0
ACE499,Bernard Arnault,0
ACE500,Dimitris Daskalopoulos,0
ACE501,Valerie and Charles Diker,1
ACE502,"George Lindemann, Jr.",0
ACE503,Peter H. and Paula Lunder,1
ACE504,Philip S. Niarchos,0
ACE505,Peter Norton,0
ACE506,Giovanna and Giuseppe Panza di Biumo,1
ACE507,Scott Rudin,0
ACE508,Marieke and Pieter Sanders,1
ACE509,Ute and Rudolf Scharpff,1
ACE510,Chara Schreyer,0
ACE511,B. Z. and Michael Schwartz,1
ACE512,Sheikh Saud bin Mohammad bin Ali al-Thani,0
ACE513,Nancy and Philip Anschutz,1
ACE514,Steven A. Cohen,0
ACE515,Sandra and Gerald Fineberg,1
ACE516,Maxine and Stuart Frankel,1
ACE517,David Ganek,0
ACE518,John Paul Getty II,0
ACE519,Janine and J. Tomilson Hill,1
ACE520,Roberto Marinho,0
ACE521,Anne and John Marion,1
ACE522,Bernardo Paz,0
ACE523,Cindy and Howard Rachofsky,1
ACE524,Mitchell Rales,0
ACE525,Tsuneo and Eiichiro Sudo,1
ACE526,Beth Swofford,0
ACE527,Ruth and William True,1
ACE528,Jose Manuel Berardo,0
ACE529,Lilian Bettencourt,0
ACE530,Annette and Udo Brandhorst,1
ACE531,Melva Bucksbaum and Raymond Learsy,1
ACE532,James Clark,0
ACE533,Paolo Consolandi,0
ACE534,The Garza Sada family,0
ACE535,Danielle and David Ganek,1
ACE536,Laurence Graff,0
ACE537,Susan and Michael Hort,1
ACE538,Nasser David Khalili,0
ACE539,Jeanne and Michael L. Klein,1
ACE540,Sarah-Ann and Werner H. Kramarsky,1
ACE541,Jill and Peter Kraus,1
ACE542,Michael Lynne,0
ACE543,Sherry and Joel Mallin,1
ACE544,Carol and Stewart Rahr,1
ACE545,Patrizia Sandretto Re Rebaudengo,0
ACE546,Sakip Sabanci,0
ACE547,Alain Wertheimer,0
ACE548,Abigail and Leslie H. Wexner,1
ACE549,Frank Cohen,0
ACE550,Kenneth C. Griffin and Anne Dias,1
ACE551,Garza Sada Family,0
ACE552,Anne and Jerome Fisher,1
ACE553,Antoine de Galbert,0
ACE554,Barbara Lee,0
ACE555,Ninah and Michael Lynne,1
ACE556,Susan and John Magnier,1
ACE557,Lester Marks,0
ACE558,Elizabeth and Harvey Plotnick,1
ACE559,Steven Rales,0
ACE560,Lily Safra,0
ACE561,Adam D. Sender,0
ACE562,Francesca Thyssen-Bornemisza,0
ACE563,Leonora and Jimmy Belilty,1
ACE564,Frieder Burda,0
ACE565,Monique and Max Burger,1
ACE566,Cherryl and Frank Cohen,1
ACE567,Beth Rudin DeWoody,0
ACE568,Glenn R. Fuhrman,0
ACE569,Kathleen and Richard S. Fuld Jr.,1
ACE570,Ann and Graham Gund,1
ACE571,Margrit and Paul Hahnloser,1
ACE572,Adam Lindemann and Amalia Dayan,1
ACE573,Margaret Munzer Loeb and Daniel S. Loeb,1
ACE574,Frances G. and James W. McGlothlin,1
ACE575,Henry S. McNeil,0
ACE576,Julie and Edward J. Minskoff,1
ACE577,Thomas Olbricht,0
ACE578,Marsha and Jeffrey Perelman,1
ACE579,Miuccia Prada and Patrizio Bertelli,1
ACE580,Lisa and John A. Pritzker,1
ACE581,Louisa Stude Sarofim,0
ACE582,Tatsumi Sato,0
ACE583,Juan Antonio Perez Simon,0
ACE584,Peter Simon,0
ACE585,Gayle Stoffel,0
ACE586,Lauren and Benedikt Taschen,1
ACE587,Alice Walton,0
ACE588,Elaine and Stephen A. Wynn,1
ACE589,Hélène and Bernard Arnault,1
ACE590,Maria Arena Bell and William Bell Jr.,1
ACE591,Karen and Christian Boros,1
ACE592,Mary Griggs Burke,0
ACE593,Peggy and Ralph Burnet,1
ACE594,Kim Chang-il,0
ACE595,Ella Fontanals-Cisneros,0
ACE596,Michael Crichton,0
ACE597,Agnes and Karlheinz Essl,1
ACE598,Geraldine and Noam Gottesman,1
ACE599,Mania and Bernhard Hahnloser,1
ACE600,Christine and Andrew Hall,1
ACE601,Prince Hans-Adam II von und zu Liechtenstein,0
ACE602,Cindy and Alan Horn,1
ACE603,Marc Landeau,0
ACE604,Anneliese and Gerhard Lenz,1
ACE605,Jane and Richard Manoogian,1
ACE606,Aby J. Rosen,0
ACE607,Lisa and Steve Tananbaum,1
ACE608,David Teiger,0
ACE609,Neil G. Bluhm,0
ACE610,Mickey Cartin,0
ACE611,Eileen and Michael Cohen,1
ACE612,Kenneth C. Griffin,0
ACE613,Nathalie and Charles de Gunzburg,1
ACE614,Deedie and Rusty Rose,1
ACE615,Eric Schmidt,0
ACE616,Dana and Jim Tananbaum,1
ACE617,Roman Abramovich and Dasha Zhukova,1
ACE618,Peter M. Brant,0
ACE619,"Robert H., Jereann H., and Holland Chaney",1
ACE620,Frank J. Fertitta III and Lorenzo Fertitta,1
ACE621,Diane and Bruce Halle,1
ACE622,Damien Hirst,0
ACE623,Mimi and Filiep Libeert,1
ACE624,David Martinez,0
ACE625,Victor Pinchuk,0
ACE626,Lynda and Stewart Resnick,1
ACE627,Myriam and Guy Ullens,1
ACE628,Maria Baibakova and Oleg Baybakov,1
ACE629,Marijke and Willem Cordia,1
ACE630,Edward “Ned” Johnson III,0
ACE631,Ingrid and Hugo Jung,1
ACE632,Nancy and Robert Magoon,1
ACE633,Susan and Larry Marx,1
ACE634,Hubert Neumann,0
ACE635,Amy and John Phelan,1
ACE636,Penny Pritzker and Bryan Traubert,1
ACE637,Lenore and Adam Sender,1
ACE638,Uli Sigg,0
ACE639,Eric Smidt,0
ACE640,Iris and Matthew Strauss,1
ACE641,Robbi and Bruce E. Toll,1
ACE642,Stephen A. Wynn,0
ACE643,Laura and John Arnold,1
ACE644,Cees and Inge de Bruin-Heijn,1
ACE645,Alexandra and Steven A. Cohen,1
ACE646,Philippe Decelle,0
ACE647,Ovitz family,0
ACE648,Amanda and Glenn R. Fuhrman,1
ACE649,Noam Gottesman,0
ACE650,Catherine and Pierre Lagrange,1
ACE651,Paula and Peter H. Lunder,1
ACE652,John S. Middleton,0
ACE653,Emily and Mitchell Rales,1
ACE654,Princess Gloria von Thurn und Taxis,0
ACE655,Walter Vanhaerents,0
ACE656,Barbara and John Vogelstein,1
ACE657,Susan Weber,0
ACE658,Tadashi Yanai,0
ACE659,Bettina and Donald L. Bryant Jr.,1
ACE660,Pierre Chen,0
ACE661,Halit Cingillioglu,0
ACE662,Glenn Dubin,0
ACE663,Suna and Inan Kiraç,1
ACE664,Liz and Eric Lefkofsky,1
ACE665,Joe Lewis,0
ACE666,Dimitri Mavrommatis,0
ACE667,Edith and Mark Vanmoerkerke,1
ACE668,Shelley Fox Aarons and Philip E. Aarons,1
ACE669,María Asunción Aramburuzabala,0
ACE670,Caryl and Israel Englander,1
ACE671,Grässlin Family,0
ACE672,Florence and Daniel Guerlain,1
ACE673,Barbara and Axel Haubrok,1
ACE674,Hugo Jung,0
ACE675,Alison and Peter W. Klein,1
ACE676,Pierre Lagrange,0
ACE677,Barbara and Aaron Levine,1
ACE678,Pamela and Jarl Mohn,1
ACE679,Rose-Marie and Eijk van Otterloo,1
ACE680,Heather and Tony Podesta,1
ACE681,Dmitry Rybolovlev,0
ACE682,Christiane Schaufler-Münch and Peter Schaufler,1
ACE683,Julia Stoschek,0
ACE684,Sylvia and Ulrich Ströher,1
ACE685,Budi Tek,0
ACE686,Sheikha Al Mayassa bint Hamad bin Khalifa Al Thani,0
ACE687,Jane and Robert Toll,1
ACE688,Wang Wei and Liu Yiqian,1
ACE689,Jutta and Siegfried Weishaupt,1
ACE690,Len Blavatnik,0
ACE691,Richard Chang,0
ACE692,Thomas Chao,0
ACE693,Robert and Renee Drake,1
ACE694,Carl Gustaf Ehrnrooth,0
ACE695,Alan Howard,0
ACE696,Steven Latner and Michael Latner,1
ACE697,Maurice Marciano and Paul Marciano,1
ACE698,Leonid Mikhelson,0
ACE699,Takeo Obayashi,0
ACE700,Daniel Och,0
ACE701,Andrea and José Olympio Pereira,1
ACE702,Qiao Zhibing,0
ACE703,Vicki and Roger Sant,1
ACE704,Yang Bin,0
ACE705,Candace Carmel Barasch,0
ACE706,Nicolas Berggruen,0
ACE707,Ernesto Bertarelli,0
ACE708,Christian Bührle,0
ACE709,Edouard Carmignac,0
ACE710,Trudy and Paul Cejas,1
ACE711,Kemal Has Cingillioglu,0
ACE712,Isabel and Agustín Coppel,1
ACE713,Tiqui Atencio Demirdjian,0
ACE714,Mitzi and Warren Eisenberg,1
ACE715,Rebecca and Martin Eisenberg,1
ACE716,Lawrence J. Ellison,0
ACE717,Susan and Leonard Feinstein,1
ACE718,Marilyn and Larry Fields,1
ACE719,Christy and Bill Gautreaux,1
ACE720,Thomas Lau,0
ACE721,Jho Low,0
ACE722,Maramotti Family,0
ACE723,Raymond J. McGuire and Crystal McCrary,1
ACE724,Tom and Margot Pritzker,1
ACE725,Stephen Ross,0
ACE726,Hilary and Wilbur L. Ross Jr.,1
ACE727,Joseph Safra,0
ACE728,Thomas Shao,0
