muci,museum,city_new,id_city,addr,lat,long,formatted_address,place_id,geometry.location_type,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,partial_match,geometry.bounds.northeast.lat,geometry.bounds.northeast.lng,geometry.bounds.southwest.lat,geometry.bounds.southwest.lng
muci_28,Museum of Fine Arts (MFA Boston),Boston,city_61,"Museum of Fine Arts (MFA Boston), Boston",42.339381,-71.094048,"465 Huntington Ave, Boston, MA 02115, USA",ChIJS3rn5w1644kRZNWVxNY_Ay8,ROOFTOP,42.339381,-71.094048,42.3408334802915,-71.0932915,42.3381355197085,-71.0961705,"8WQ4+Q9 Boston, MA",87JC8WQ4+Q9,,,,,
muci_29,Museum of Fine Arts Boston,Boston,city_61,"Museum of Fine Arts Boston, Boston",42.339381,-71.094048,"465 Huntington Ave, Boston, MA 02115, USA",ChIJS3rn5w1644kRZNWVxNY_Ay8,ROOFTOP,42.339381,-71.094048,42.3408334802915,-71.0932915,42.3381355197085,-71.0961705,"8WQ4+Q9 Boston, MA",87JC8WQ4+Q9,,,,,
muci_30,Centro Cultural Banco do Brasil,Brasilia,city_97,"Centro Cultural Banco do Brasil, Brasilia",-15.8135814,-47.8382987,"lote 22 - Asa sul Trecho 2 - Asa Sul, Brasília - DF, 70200-002, Brazil",ChIJb-7SM7QkWpMRqadKN4AMIG4,ROOFTOP,-15.8135814,-47.8382987,-15.8121853197085,-47.8370061197085,-15.8148832802915,-47.8397040802915,"55P6+HM Brasilia, Brasília - Federal District, Brazil",58PJ55P6+HM,,,,,
muci_31,Gallery of Modern Art (GOMA),Brisbane,city_38,"Gallery of Modern Art (GOMA), Brisbane",-27.47056,153.0171334,"Stanley Pl, South Brisbane QLD 4101, Australia",ChIJeT87OwZakWsRMni5L396BlU,GEOMETRIC_CENTER,-27.47056,153.0171334,-27.4698553197085,153.018750430292,-27.4725532802915,153.016052469709,"G2H8+QV South Brisbane, Australia",5R4MG2H8+QV,TRUE,,,,
muci_32,Queensland Art Gallery (QAG),Brisbane,city_38,"Queensland Art Gallery (QAG), Brisbane",-27.4721828,153.0186225,"Queensland Art Gallery, Stanley Pl, South Brisbane QLD 4101, Australia",ChIJr3oUqwdakWsRsJpLcL6w_Mw,GEOMETRIC_CENTER,-27.4721828,153.0186225,-27.4715620197085,153.020036530292,-27.4742599802915,153.017338569709,"G2H9+4C South Brisbane, Australia",5R4MG2H9+4C,TRUE,,,,
muci_33,Gallery of Modern Art,Brisbane,city_38,"Gallery of Modern Art, Brisbane",-27.47056,153.0171334,"Stanley Pl, South Brisbane QLD 4101, Australia",ChIJeT87OwZakWsRMni5L396BlU,GEOMETRIC_CENTER,-27.47056,153.0171334,-27.4698553197085,153.018750430292,-27.4725532802915,153.016052469709,"G2H8+QV South Brisbane, Australia",5R4MG2H8+QV,,,,,
muci_34,Queensland Art Gallery,Brisbane,city_38,"Queensland Art Gallery, Brisbane",-27.4724407,153.0185946,"Stanley Pl, South Brisbane QLD 4101, Australia",ChIJKxOVjudbkWsRmaaBfsl29ZM,GEOMETRIC_CENTER,-27.4724407,153.0185946,-27.4716909697085,153.020036530292,-27.4743889302915,153.017338569709,"G2H9+2C South Brisbane, Australia",5R4MG2H9+2C,,,,,
muci_35,Musées Royaux des Beaux-Arts,Brussels,city_53,"Musées Royaux des Beaux-Arts, Brussels",50.8416199,4.3581793,"Rue de la Régence 3, 1000 Bruxelles, Belgium",ChIJa5YBW4fEw0cRXEdEmmrHNzM,ROOFTOP,50.8416199,4.3581793,50.8429337802915,4.3596365802915,50.8402358197085,4.3569386197085,"R9R5+J7 Brussels, Belgium",9F26R9R5+J7,,,,,
muci_36,Musées Royaux des Beaux-Arts de Belgique,Brussels,city_53,"Musées Royaux des Beaux-Arts de Belgique, Brussels",50.8416199,4.3581793,"Rue de la Régence 3, 1000 Bruxelles, Belgium",ChIJa5YBW4fEw0cRXEdEmmrHNzM,ROOFTOP,50.8416199,4.3581793,50.8429337802915,4.3596365802915,50.8402358197085,4.3569386197085,"R9R5+J7 Brussels, Belgium",9F26R9R5+J7,,,,,
muci_37,Museum of Fine Arts,Budapest,city_71,"Museum of Fine Arts, Budapest",47.5158038,19.0768998,"Budapest, Szépművészeti Múzeum, Dózsa György út 41, 1146 Hungary",ChIJ-6FvO4jbQUcROeO39pe3Sxs,ROOFTOP,47.5158038,19.0768998,47.5169246302915,19.0778120302915,47.5142266697085,19.0751140697085,"G38G+8Q Budapest, Hungary",8FVXG38G+8Q,,,,,
