muci_id,id_af,name_muci,name_af
muci_1,1599,,
muci_10,2660,,
muci_100,2235,,
muci_108,36356,,
muci_113,16718,,
muci_114,2687,,
muci_115,1806,,
muci_12,2203,,
muci_13,34708,,
muci_138,12759,,
muci_144,2604,,
muci_164,7877,,
muci_165,2219,,
muci_169,32537,,
muci_176,25308,,
muci_177,1782,,
muci_179,2458,,
muci_182,5479,,
muci_19,26921,,
muci_191,7132,,
muci_2,39560,,
muci_207,2479,,
muci_21,14457,,
muci_213,3805,,
muci_217,25209,,
muci_218,2401,,
muci_219,28756,,
muci_222,3781,,
muci_228,10371,,
muci_229,2434,,
muci_233,23368,,
muci_235,29355,,
muci_237,3659,,
muci_240,3852,,
muci_250,56465,,
muci_255,3802,,
muci_256,2288,,
muci_268,15231,,
muci_289,2400,,
muci_3,3811,,
muci_316,3607,,
muci_318,27941,,
muci_335,28851,,
muci_341,21864,,
muci_346,847,,
muci_352,44035,,
muci_363,2246,,
muci_376,15194,,
muci_38,3803,,
muci_380,2426,,
muci_387,21138,,
muci_389,2181,,
muci_39,22351,,
muci_4,30682,,
muci_402,2297,,
muci_408,6432,,
muci_410,2330,,
muci_412,2224,,
muci_422,42969,,
muci_423,2436,,
muci_424,15484,,
muci_431,1818,,
muci_438,5304,,
muci_45,2446,,
muci_456,13734,,
muci_457,7560,,
muci_46,2673,,
muci_461,2456,,
muci_462,27839,,
muci_465,2437,,
muci_467,1784,,
muci_469,10495,,
muci_472,2447,,
muci_473,10117,,
muci_474,3858,,
muci_48,6453,,
muci_482,5843,,
muci_494,5449,,
muci_5,3581,,
muci_50,9652,,
muci_502,2250,,
muci_509,6618,,
muci_515,1598,,
muci_516,5475,,
muci_518,11403,,
muci_522,7862,,
muci_524,3097,,
muci_526,2251,,
muci_531,2735,,
muci_532,26913,,
muci_538,8632,,
muci_539,2683,,
muci_542,5430,,
muci_545,3177,,
muci_546,8727,,
muci_549,15694,,
muci_55,20379,,
muci_559,5389,,
muci_560,3797,,
muci_572,344,,
muci_573,10862,,
muci_59,2350,,
muci_599,4976,,
muci_616,2187,,
muci_617,3750,,
muci_64,8721,,
muci_651,6090,,
muci_659,22614,,
muci_66,23228,,
muci_672,2725,,
muci_678,2530,,
muci_699,34412,,
muci_70,23551,,
muci_704,2308,,
muci_709,35552,,
muci_71,5724,,
muci_710,32946,,
muci_717,15644,,
muci_722,14214,,
muci_731,30992,,
muci_733,35692,,
muci_735,3752,,
muci_744,13322,,
muci_751,20621,,
muci_752,23918,,
muci_76,2198,,
muci_761,11869,,
muci_762,9033,,
muci_769,14201,,
muci_774,47333,,
muci_778,3766,,
muci_78,5310,,
muci_798,5433,,
muci_805,6069,,
muci_809,3107,,
muci_828,3854,,
muci_83,5487,,
muci_84,12656,,
muci_861,3171,,
muci_877,13695,,
muci_904,31155,,
muci_91,31836,,
muci_94,15293,,
muci_97,18310,,
muci_98,2715,,
